Date,Currency Pair,Type,Data,
1/31/90,USD/AUD,Nominal, 1.2806 ,
2/28/90,USD/AUD,Nominal, 1.3171 ,
3/31/90,USD/AUD,Nominal, 1.3235 ,
4/30/90,USD/AUD,Nominal, 1.3096 ,
5/31/90,USD/AUD,Nominal, 1.3140 ,
6/30/90,USD/AUD,Nominal, 1.2838 ,
7/31/90,USD/AUD,Nominal, 1.2647 ,
8/31/90,USD/AUD,Nominal, 1.2370 ,
9/30/90,USD/AUD,Nominal, 1.2120 ,
10/31/90,USD/AUD,Nominal, 1.2501 ,
11/30/90,USD/AUD,Nominal, 1.2939 ,
12/31/90,USD/AUD,Nominal, 1.2984 ,
1/31/91,USD/AUD,Nominal, 1.2832 ,
2/28/91,USD/AUD,Nominal, 1.2763 ,
3/31/91,USD/AUD,Nominal, 1.2969 ,
4/30/91,USD/AUD,Nominal, 1.2830 ,
5/31/91,USD/AUD,Nominal, 1.2918 ,
6/30/91,USD/AUD,Nominal, 1.3162 ,
7/31/91,USD/AUD,Nominal, 1.2961 ,
8/31/91,USD/AUD,Nominal, 1.2782 ,
9/30/91,USD/AUD,Nominal, 1.2600 ,
10/31/91,USD/AUD,Nominal, 1.2619 ,
11/30/91,USD/AUD,Nominal, 1.2713 ,
12/31/91,USD/AUD,Nominal, 1.2968 ,
1/31/92,USD/AUD,Nominal, 1.3378 ,
2/29/92,USD/AUD,Nominal, 1.3302 ,
3/31/92,USD/AUD,Nominal, 1.3182 ,
4/30/92,USD/AUD,Nominal, 1.3117 ,
5/31/92,USD/AUD,Nominal, 1.3230 ,
6/30/92,USD/AUD,Nominal, 1.3235 ,
7/31/92,USD/AUD,Nominal, 1.3422 ,
8/31/92,USD/AUD,Nominal, 1.3800 ,
9/30/92,USD/AUD,Nominal, 1.3841 ,
10/31/92,USD/AUD,Nominal, 1.3992 ,
11/30/92,USD/AUD,Nominal, 1.4497 ,
12/31/92,USD/AUD,Nominal, 1.4499 ,
1/31/93,USD/AUD,Nominal, 1.4860 ,
2/28/93,USD/AUD,Nominal, 1.4645 ,
3/31/93,USD/AUD,Nominal, 1.4130 ,
4/30/93,USD/AUD,Nominal, 1.4055 ,
5/31/93,USD/AUD,Nominal, 1.4316 ,
6/30/93,USD/AUD,Nominal, 1.4817 ,
7/31/93,USD/AUD,Nominal, 1.4753 ,
8/31/93,USD/AUD,Nominal, 1.4765 ,
9/30/93,USD/AUD,Nominal, 1.5346 ,
10/31/93,USD/AUD,Nominal, 1.5131 ,
11/30/93,USD/AUD,Nominal, 1.5047 ,
12/31/93,USD/AUD,Nominal, 1.4846 ,
1/31/94,USD/AUD,Nominal, 1.4369 ,
2/28/94,USD/AUD,Nominal, 1.3965 ,
3/31/94,USD/AUD,Nominal, 1.4068 ,
4/30/94,USD/AUD,Nominal, 1.3974 ,
5/31/94,USD/AUD,Nominal, 1.3808 ,
6/30/94,USD/AUD,Nominal, 1.3645 ,
7/31/94,USD/AUD,Nominal, 1.3623 ,
8/31/94,USD/AUD,Nominal, 1.3512 ,
9/30/94,USD/AUD,Nominal, 1.3477 ,
10/31/94,USD/AUD,Nominal, 1.3553 ,
11/30/94,USD/AUD,Nominal, 1.3248 ,
12/31/94,USD/AUD,Nominal, 1.2922 ,
1/31/95,USD/AUD,Nominal, 1.3078 ,
2/28/95,USD/AUD,Nominal, 1.3429 ,
3/31/95,USD/AUD,Nominal, 1.3616 ,
4/30/95,USD/AUD,Nominal, 1.3594 ,
5/31/95,USD/AUD,Nominal, 1.3754 ,
6/30/95,USD/AUD,Nominal, 1.3897 ,
7/31/95,USD/AUD,Nominal, 1.3741 ,
8/31/95,USD/AUD,Nominal, 1.3489 ,
9/30/95,USD/AUD,Nominal, 1.3268 ,
10/31/95,USD/AUD,Nominal, 1.3211 ,
11/30/95,USD/AUD,Nominal, 1.3418 ,
12/31/95,USD/AUD,Nominal, 1.3504 ,
1/31/96,USD/AUD,Nominal, 1.3483 ,
2/29/96,USD/AUD,Nominal, 1.3235 ,
3/31/96,USD/AUD,Nominal, 1.2965 ,
4/30/96,USD/AUD,Nominal, 1.2728 ,
5/31/96,USD/AUD,Nominal, 1.2547 ,
6/30/96,USD/AUD,Nominal, 1.2639 ,
7/31/96,USD/AUD,Nominal, 1.2663 ,
8/31/96,USD/AUD,Nominal, 1.2772 ,
9/30/96,USD/AUD,Nominal, 1.2614 ,
10/31/96,USD/AUD,Nominal, 1.2630 ,
11/30/96,USD/AUD,Nominal, 1.2552 ,
12/31/96,USD/AUD,Nominal, 1.2554 ,
1/31/97,USD/AUD,Nominal, 1.2862 ,
2/28/97,USD/AUD,Nominal, 1.3027 ,
3/31/97,USD/AUD,Nominal, 1.2699 ,
4/30/97,USD/AUD,Nominal, 1.2843 ,
5/31/97,USD/AUD,Nominal, 1.2903 ,
6/30/97,USD/AUD,Nominal, 1.3259 ,
7/31/97,USD/AUD,Nominal, 1.3478 ,
8/31/97,USD/AUD,Nominal, 1.3507 ,
9/30/97,USD/AUD,Nominal, 1.3830 ,
10/31/97,USD/AUD,Nominal, 1.3900 ,
11/30/97,USD/AUD,Nominal, 1.4385 ,
12/31/97,USD/AUD,Nominal, 1.5111 ,
1/31/98,USD/AUD,Nominal, 1.5238 ,
